,name,info,image
123,ВиноПьетрамеМонтепульчаноДАбруццоDOPкрасноеполусухое,"Италия, 0.75 л., Абруццо, 13%",ВиноПьетрамеМонтепульчаноДАбруццоDOPкрасноеполусухое.png
124,ВиноАнтикоЧеппоТресЛациобелоеполусухое,"Италия, 0.75 л., Лацио, 13%",ВиноАнтикоЧеппоТресЛациобелоеполусухое.png
125,ВиноВидальДельСазТемпранильоКриансакрасноесухое,"Испания, 0.75 л., Ла Манча, 13.5%",ВиноВидальДельСазТемпранильоКриансакрасноесухое.png
126,ВиноПьетрамеПиноГриджоТерредиКьетиАбруццоIGPбелоесухое,"Италия, 0.75 л., Абруццо, 12.5%",ВиноПьетрамеПиноГриджоТерредиКьетиАбруццоIGPбелоесухое.png
127,ВиноТерраВегаРезерваКабернеСовиньонкрасноесухое,"Чили, 0.75 л., Долина Колчагуа, 14%",ВиноТерраВегаРезерваКабернеСовиньонкрасноесухое.png
128,ВиноМарселиноРиохаКрианзакрасноесухое,"Испания, 0.75 л., Риоха, 14%",ВиноМарселиноРиохаКрианзакрасноесухое.png
129,ПортвейнГравурашдуКоаПортоТоникрасныйсладкий,"Португалия, 0.75 л., Дору, 19%",ПортвейнГравурашдуКоаПортоТоникрасныйсладкий.png
130,ВиноКабернеСаперавиКвевриКахуриГвинисМараникрасноесухое,"Грузия, 0.75 л., Кахети, 11%",ВиноКабернеСаперавиКвевриКахуриГвинисМараникрасноесухое.png
131,ВиноАнжуДоменДАврийеКабернеФранкрасноесухое,"Франция, 0.75 л., Долина Луары, 12%",ВиноАнжуДоменДАврийеКабернеФранкрасноесухое.png
132,ВиноКатарсисДаркБлендкрасноесухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",ВиноКатарсисДаркБлендкрасноесухое.png
133,ВиноКатарсисРэдБлендкрасноесухое,"Испания, 0.75 л., Кастилья Ла Манча, 13.5%",ВиноКатарсисРэдБлендкрасноесухое.png
134,ВиноВейнцунфтСовиньонБланРейнхессенбелоесухое,"Германия, 0.75 л., Рейнхессен, 12%",ВиноВейнцунфтСовиньонБланРейнхессенбелоесухое.png
135,ВиноКальдораМальвазияШардонеТерредиКьетибелоесухое,"Италия, 0.75 л., Абруццо, 12%",ВиноКальдораМальвазияШардонеТерредиКьетибелоесухое.png
136,ВиноАртНувоМускателлерПфаффльбелоеполусухое,"Австрия, 0.75 л., Нижняя Австрия, 13.5%",ВиноАртНувоМускателлерПфаффльбелоеполусухое.png
137,ВиноТенутеРоссеттиБьянкоТосканаIGPбелоеполусухое,"Италия, 0.75 л., Тоскана, 12.5%",ВиноТенутеРоссеттиБьянкоТосканаIGPбелоеполусухое.png
138,ВиноПьетрамеЭдицьенеЛимитатаШардонеПассеринабелоеполусухое,"Италия, 0.75 л., Абруццо, 12.5%",ВиноПьетрамеЭдицьенеЛимитатаШардонеПассеринабелоеполусухое.png
139,ВиноКорезейПиноГриджиоДеллеВенециебелоесухое,"Италия, 0.75 л., Венето, 12%",ВиноКорезейПиноГриджиоДеллеВенециебелоесухое.png
140,ВиноПьетрамеМонтепульчаноДАбруццоЭдиционеЛимитатакрасноеполусухое,"Италия, 0.75 л., Абруццо, 13%",ВиноПьетрамеМонтепульчаноДАбруццоЭдиционеЛимитатакрасноеполусухое.png
141,ВиноТерраВегаРезерваПиноНуаркрасноесухое,"Чили, 0.75 л., Долина Лейда, 13.5%",ВиноТерраВегаРезерваПиноНуаркрасноесухое.png
